index,bus_idx,pgmax,pgmin,c0,c1,c2
1,5,1299,0,0,4.12,0
2,5,1012,0,0,4.12,0
3,4,901.8,45,7910.3,67.576,0.009
4,4,901.8,45,7910.3,67.576,0.009
5,9,883,1,7760.9,67.576,0.009
6,2,882,0,0,4.12,0
7,11,655.1,150,1017.57,13.1,0.002
8,2,1259.3,75,0,4.12,0
9,2,641.8,105,0,4.12,0
10,5,621,100,1515.9,21.147,0.003
11,5,621,80,1515.9,21.147,0.003
12,5,621,140,1517.34,21.162,0.003
13,5,621,140,1517.34,21.162,0.003
14,4,614,291,0,0,0
15,1,148.4,11,2249.86,9.547,0.032
16,1,223,78.5,2130.63,13.659,0.009
17,1,223,78.5,2130.63,13.659,0.009
18,1,95.2,45,588.04,18.772,0.009
19,1,95.2,45,588.04,18.772,0.009
20,6,95.2,45,588.04,18.772,0.009
21,6,387,40,910.45,21,0.006
22,6,387,40,910.45,20.999,0.006
23,6,387,40,910.45,20.999,0.006
24,9,387,30,910.45,20.999,0.006
25,9,535.5,150,1293.2,21.105,0.003
26,9,342,90,854.99,21.188,0.006
27,6,188,15,528.37,22.239,0.011
28,6,25.93,18.49,2894.55,60.757,0.005
29,6,25.93,18.49,2894.55,60.757,0.005
30,6,25.93,18.49,2894.55,60.757,0.005
31,6,25.93,18.49,2894.55,60.757,0.005
32,6,25.93,18.49,2894.55,60.757,0.005
33,6,188,15,528.37,22.239,0.011
34,6,25.93,18.49,2894.55,60.757,0.005
35,6,25.93,18.49,2894.55,60.757,0.005
36,6,25.93,18.49,2894.55,60.757,0.005
37,6,25.93,18.49,2894.55,60.757,0.005
38,6,25.93,18.49,2894.55,60.757,0.005
39,6,25.93,18.49,2894.55,60.757,0.005
40,1,25.93,18.49,2894.55,60.757,0.005
41,1,141,90,2249.86,9.547,0.032
42,1,141,90,2249.86,9.547,0.032
43,1,141,90,2249.86,9.547,0.032
44,1,300,194,993.75,11.398,0.026
45,1,300,194,993.75,11.398,0.026
46,1,300,194,993.75,11.398,0.026
47,1,250,1,303.56,14.879,0.009
48,1,250,1,303.56,14.879,0.009
49,1,250,1,303.56,14.879,0.009
50,1,250,1,303.56,14.879,0.009
51,6,152.7,80,2249.86,9.547,0.032
52,6,196.2,125,588.04,18.772,0.009
53,9,200,65,553.15,22.03,0.011
54,9,156.2,45,451.55,22.796,0.014
55,9,180,110,2894.55,60.757,0.005
56,9,180,110,2894.55,60.757,0.005
57,9,180,60,521.25,22.317,0.012
58,9,376,75,910.45,20.999,0.006
59,9,387,75,920.03,20.962,0.006
60,9,387,75,920.03,20.962,0.006
61,6,89.8,37.5,2249.86,9.547,0.032
62,6,89.8,37.5,2249.86,9.547,0.032
63,6,60,35,51.34,14.879,0.053
64,6,60,35,51.34,14.879,0.053
65,6,33.7,15,51.34,14.879,0.053
66,6,33.7,15,51.34,14.879,0.053
67,6,36,5,51.34,14.879,0.053
68,1,179,90,2249.86,9.547,0.032
69,1,179,90,2249.86,9.547,0.032
70,1,295.7,135,993.75,11.398,0.026
71,9,25,10,318.86,13.537,0.026
72,9,42.9,10,318.86,13.537,0.026
73,9,42.9,10,318.86,13.537,0.026
74,9,42.9,10,318.86,13.537,0.026
75,9,42.9,10,318.86,13.537,0.026
76,9,42.9,10,318.86,13.537,0.026
77,9,42.9,10,318.86,13.537,0.026
78,9,170,90,2249.86,9.547,0.032
79,9,80,65,588.04,18.772,0.009
80,9,25,10,318.86,13.537,0.026
81,9,25,10,318.86,13.537,0.026
82,9,21.1,7,318.86,13.537,0.026
83,9,21.1,7,318.86,13.537,0.026
84,9,22,7,318.86,13.537,0.026
85,9,22,7,318.86,13.537,0.026
86,9,42.9,10,318.86,13.537,0.026
87,9,42.9,10,318.86,13.537,0.026
88,9,170,100,2249.86,9.547,0.032
89,9,170,100,2249.86,9.547,0.032
90,9,255,120,993.75,11.398,0.026
91,9,170,1,2249.86,9.547,0.032
92,9,170,1,2249.86,9.547,0.032
93,2,188,1,588.04,18.772,0.009
94,2,169.2,90,2249.86,9.547,0.032
95,2,169.2,90,2249.86,9.547,0.032
96,2,169.2,90,2249.86,9.547,0.032
97,2,169.5,90,2249.86,9.547,0.032
98,2,204.5,45,588.04,18.772,0.009
99,2,204.5,45,588.04,18.772,0.009
100,2,167.2,50,308.53,14.126,0.008
101,2,155.3,50,279.82,14.339,0.009
102,9,20.59,15.1,1952.1,59.305,0.01
103,9,41.9,18.6,318.86,13.537,0.026
104,9,41.9,18.6,318.86,13.537,0.026
